title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Sample This,TV,2012,TV-14,SuperHD,Gene Simmons,Dan Forrer,,6.4,83,70290909,2016-09-15,"This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it.",0,english
Samudri Lootere,TV,2018,TV-Y,SuperHD,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik",Anirban Majumder,,,65,81092780,2019-06-18,The king’s ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?,0,hindi
Samurai Gourmet,TV,2017,TV-PG,UltraHD,"Naoto Takenaka, Tetsuji Tamayama, Honami Suzuki",,,8.3,,80132738,2017-03-17,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,1,japanese
San Pietro,TV,1945,TV-14,SuperHD,,John Huston,,6.6,32,80119188,2017-03-31,"After the Allies invade Italy, San Pietro becomes an example of war’s brutal effects. Learn about this state-funded film in the series ""Five Came Back.""",0,english
Sand Castle,TV,2017,TV-MA,SuperHD,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill, Glen Powell",Fernando Coimbra,,6.3,113,80118916,2017-04-21,"After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system.",0,english
Sand Storm,TV,2016,TV-PG,SuperHD,"Lamis Ammar, Ruba Blal, Haitham Omari, Khadija Alakel",Elite Zexer,,6.8,88,80098810,2016-12-15,"When a Bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy.",0,arabic
Sandy Wexler,TV,2017,TV-14,UltraHD,"Adam Sandler, Jennifer Hudson, Kevin James, Terry Crews",Steve Brill,,5.1,131,80126569,2017-04-14,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",1,english
Sanju,TV,2018,TV-MA,SuperHD,"Ranbir Kapoor, Vicky Kaushal, Paresh Rawal, Sonam Kapoor",Rajkumar Hirani,,7.8,158,81020508,2018-10-15,"From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.",0,hindi
SanPa: Sins of the Savior ,TV,,TV-MA,,,Cosima Spender ,Documentary,,,81010965,2020-12-30,"Amidst a heroin crisis, Vincenzo Muccioli cared for the addicted, earning him fierce public devotion -- even as charges of violence began to mount.",0,other
Santa Clarita Diet,TV,2017,TV-MA,UltraHD,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",,,7.8,,80095815,2017-02-03,They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.,1,english
Santa Girl,TV,2019,TV-PG,UltraHD,"Barry Bostwick, Jennifer Stone, Devon Werkheiser, McKayla Witt",Blayne Weaver,,5.0,90,81152930,2019-11-01,"Fleeing the family business and an arranged marriage, Santa’s daughter chooses a magical adventure of her own: College.",1,english
Santa Pac's Merry Berry Day,TV,2016,TV-Y,SuperHD,"Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball",Moto Sakakibara,,,44,80006168,2018-11-01,Pac aims to keep Berry Day the happiest day ever by unraveling a curious mystery about his parents and thwarting Betrayus's plan to capture Santa Pac.,0,english
Santo Cachón,TV,2018,TV-14,SuperHD,,,,4.8,86,80992500,2018-10-26,A man whose wife is repeatedly cheating on him turns to his friends for support in this wacky comedy.,0,spanish
Sara's Notebook,TV,2018,TV-MA,SuperHD,"Belén Rueda, Marian Álvarez, Iván Mendes, Manolo Cardona",Norberto López Amado,,5.9,116,80202903,2018-05-26,"A naive Madrid lawyer travels to Africa to search for her younger sister, who has gone missing in a part of Congo plagued by violence and strife.",0,spanish
Sarah Silverman A Speck of Dust,TV,2017,TV-MA,UltraHD,Sarah Silverman,Liam Lynch,,6.8,71,80133554,2017-05-30,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.",1,english
Sarajevo,TV,2014,TV-PG,SuperHD,"Florian Teichtmeister, Heino Ferch, Melika Foroutan, Juergen Maurer",Andreas Prochaska,,6.7,98,80141338,2017-01-15,"Tasked with unraveling the assassination of Archduke Franz Ferdinand, an honorable magistrate finds himself targeted by the shadowy perpetrators.",0,german
Sarkar (Tamil),TV,2018,TV-MA,SuperHD,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi",A.R. Murugadoss,,,162,81072516,2019-02-15,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.,0,other
Sarkar (Telugu),TV,2018,TV-MA,SuperHD,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi",A.R. Murugadoss,,6.8,161,81075235,2019-02-15,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.,0,hindi
Sarvam Thaala Mayam,TV,2018,TV-14,SuperHD,"G.V. Prakash Kumar, Nedumudi Venu, Aparna Balamurali, Divyadarshini",Rajiv Menon,,7.6,130,81083971,2019-03-01,"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",0,other
Sarvam Thaala Mayam (Telugu Version),TV,2018,TV-14,SuperHD,"G.V. Prakash Kumar, Nedumudi Venu, Aparna Balamurali, Divyadarshini",Rajiv Menon,,,130,81074135,2019-04-08,"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",0,other
Sarvopari Palakkaran,TV,2017,TV-14,SuperHD,"Anoop Menon, Alencier Ley Lopez, Balu Varghese, Aparna Balamurali",Venugopan,,5.0,132,80994420,2018-07-01,"In the course of a human trafficking investigation, a conservative cop crosses paths with an artist-activist in a clash of worldviews.",0,other
Sat Shri Akaal England,TV,2017,TV-14,SuperHD,"Ammy Virk, Monica Gill, Karamjit Anmol, Sardar Sohi",Vikram Pradhan,,5.2,127,81024701,2018-10-01,"After several failed attempts to obtain a visa, a man desperate to escape Punjab pays a British woman to marry him so he can move to England.",0,other
Sat Sri Akal,TV,2008,TV-14,SuperHD,"Kimi Verma, Manpreet Singh, Arun Bali, Dolly Minhas",Kamal Sahani,,5.8,141,70113347,2019-01-30,"Based on true events, this moving story centers on a Punjabi family whose celebration of their faith endures in the face of conflicting attitudes.",0,other
Satan & Adam,TV,2018,TV-MA,SuperHD,"Sterling Magee, Adam Gussow",V. Scott Balcerek,,7.3,77,81077539,2019-06-01,An aging blues guitarist and a grad student form an unlikely duo while busking on the street corners of 1980s Harlem.,0,english
Satu Hari,TV,2014,TV-PG,SuperHD,"Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic",,,,,80180449,2017-09-29,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",0,other
Satyagraha,TV,2013,TV-14,SuperHD,"Kareena Kapoor, Amitabh Bachchan, Ajay Devgn, Arjun Rampal",Prakash Jha,,5.9,146,70254351,2018-11-01,"In this Bollywood drama, a corporate go-getter sees his priorities shift when personal tragedy brings him face-to-face with political corruption.",0,hindi
Saudi Arabia Uncovered,TV,2016,TV-14,SuperHD,,,,7.2,51,80118888,2016-09-01,"Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change.",0,english
Savage Raghda,TV,2018,TV-MA,SuperHD,"Ramez Galal, Riham Hagag, Bayoumi Fouad, Entsar",Mahmoud Karim,,5.2,92,81035889,2019-06-13,"Desperate to support his son, a single father uses his talent with makeup to dress up as a woman to try out for a part in a commercial.",0,arabic
Save Me,TV,2017,TV-MA,SuperHD,"Taecyeon, Seo Ye-ji, Cho Seong-ha, Woo Do‑hwan",,,,,81167101,2020-01-01,Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.,0,korean
Saverio Raimondo: Il Satiro Parlante,TV,2019,TV-MA,UltraHD,Saverio Raimondo,Francesco Imperato,,6.1,53,81041271,2019-05-17,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights.",1,other
Saving Capitalism,TV,2017,TV-PG,SuperHD,Robert Reich,Jacob Kornbluth,,6.8,73,80127558,2017-11-21,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.,0,english
Savita Damodar Paranjpe,TV,2018,TV-14,SuperHD,"Subodh Bhave, Trupti Toradmal, Rakesh Bapat, Pallavi Patil",Swapna Waghmare Joshi,,6.0,119,81035107,2018-11-15,"When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister.",0,other
Say I Do ,TV,2020,TV-14,,"Jeremiah Brent, Thai Nguyen, Gabriele Bertaccini",,Reality,,,81014405,2020-07-01,"In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week.",0,english
SCAMS,TV,2019,TV-14,SuperHD,"Yosuke Sugino, Tomoya Maeno, Maika Yamamoto, Junki Tozuka",,,6.2,,81153751,2019-11-06,"Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.",0,japanese
Scare Tactics,TV,2003,TV-MA,SuperHD,"Tracy Morgan, Lauren Ash",,,6.7,,70157266,2019-06-29,This ghoulish hidden-camera show finds friends and family members setting up unsuspecting victims for pranks that use high-quality makeup and effects.,0,english
Schitt's Creek,TV,2015,TV-MA,SuperHD,"Eugene Levy, Catherine O'Hara, Daniel Levy, Annie Murphy",,,8.4,,80036165,2017-01-01,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek.",0,english
School Life,TV,2019,TV-MA,SuperHD,"Zita Hanrot, Liam Pierron, Soufiane Guerrab, Ibrahim Dramé","Grand Corps Malade, Mehdi Idir",,6.4,112,81191429,2020-04-10,"In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own.",0,french
Schubert in Love,TV,2016,TV-14,SuperHD,"Olaf Schubert, Mario Adorf, Marie Leuenberger, Jochen Barkas",Lars Büchel,,5.1,94,80158247,2018-03-01,"The last of his family line, Olaf Schubert doesn't have time for a girlfriend but dutifully searches for one when his father demands offspring.",0,german
Schulz Saves America ,TV,2020–,TV-MA,,Andrew Schulz,N/A,Comedy,,N/A,81383020,2020-12-17,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,0,english
Scissor Seven,TV,,TV-14,SuperHD,"He Xiaofeng, Jiang Guangtao, Duan Yixuan, Zhu Rongrong",He Xiaofeng,,,,81156880,2020-01-10,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",0,mandarin
Scooby-Doo!: Mystery Incorporated,TV,2010,TV-Y7,SuperHD,"Frank Welker, Mindy Cohn, Grey DeLisle, Matthew Lillard",,,,,70171947,2019-12-15,"In this animated update of the cartoon classic, Scooby-Doo, Shaggy and their pals solve spooky mysteries in a hamlet bedeviled by supernatural bedlam.",0,english
Scream,TV,2015,TV-MA,SuperHD,"RJ Cyler, Jessica Sula, Giorgia Whigham, Christopher Jordan Wallace",,,7.2,,80053653,2016-05-13,Memories of a town's dark past are stirred when a group of teenagers is targeted by a masked slasher in this serialized anthology series.,0,english
Screwball,TV,2018,TV-MA,SuperHD,,Billy Corben,,7.2,104,81047680,2019-08-06,A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,0,english
SDU: Sex Duties Unit,TV,2013,TV-MA,SuperHD,"Chapman To, Shawn Yue, Matt Chow, Kwok Cheung Tsang",Gary Mak,,6.0,96,81030200,2018-12-01,Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.,0,other
Sebastian Maniscalco: Stay Hungry,TV,2019,TV-MA,UltraHD,Sebastian Maniscalco,Rik Reinholdtsen,,7.1,65,80218104,2019-01-15,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special.",1,english
Sebastian Maniscalco: What's Wrong with People?,TV,2012,TV-MA,SuperHD,Sebastian Maniscalco,Manny Rodriguez,,8.1,75,70229037,2019-09-17,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special.",0,english
Sebastian Maniscalco: Why Would You Do That?,TV,2016,TV-MA,SuperHD,Sebastian Maniscalco,Joe DeMaio,,7.3,63,81001278,2019-08-06,"Sebastian Maniscalco delivers an expressive stand-up at the legendary Beacon Theatre on Whole Foods, family nicknames and dodging obnoxious neighbors.",0,english
Sebastián Marcelo Wainraich,TV,2018,TV-MA,UltraHD,Sebastián Wainraich,"Raúl Campos, Jan Suter",,6.2,49,80192138,2018-01-26,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",1,spanish
Second 20s,TV,2015,TV-PG,SuperHD,"Choi Ji-woo, Lee Sang-yun, Choi Won-young, Kim Min-jae",,,7.7,,81167011,2019-10-16,"Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",0,korean
Secret,TV,2007,TV-PG,SuperHD,"Devon Song, Jun Lang Huang, Zhan Yuhao, Jay Chou",Jay Chou,,7.5,101,70205125,2018-07-01,"Enchanted by a pretty pianist and the haunting melody she plays, a musical prodigy falls in love. But a secret soon threatens to derail their romance.",0,mandarin
Secret City,TV,2016,TV-MA,SuperHD,"Anna Torv, Jacki Weaver, Dan Wyllie, Alex Dimitriades",,,7.4,,80211136,2018-06-26,"A relentless muckraker pushes for truth and transparency in Australia’s corridors of political power, despite threats to her life and career.",0,english
Secret Obsession,TV,2019,TV-14,UltraHD,"Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott",Peter Sullivan,,4.3,97,80998968,2019-07-18,"When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over.",1,english
Secret of Success,TV,2015,TV-14,SuperHD,"Jack Tan, Rain Shuaiyu, Rickman Chia, Orange Tan",,,,,80163532,2019-05-08,An aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in -- but not without consequences.,0,mandarin
Secret of the Nile,TV,2016,TV-14,SuperHD,"Amr Youssef, Dina El-Sherbiny, Anoushka, Amina Khalil",,,8.3,,80215154,2018-03-15,"When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue.",0,arabic
Secret Superstar,TV,2017,TV-14,SuperHD,"Zaira Wasim, Meher Vij, Raj Arjun, Aamir Khan",Advait Chandan,,7.9,149,80245408,2018-03-23,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,0,hindi
Secreto bien guardado ,TV,2019,TV-MA,,"Victorio D\'Alessandro, Romina Fernandes, Noemí Frenkel, Carlos Kaspar",N/A,Romance,,N/A,81299237,2020-10-01,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel.",0,spanish
Secrets in the Hot Spring,TV,2018,TV-14,SuperHD,"Chang Ting-hu, Hung Yan-siang, Lin He-xuan, Kuo Shu-yao",Lin Kuan-Hui,,6.0,108,81034612,2018-12-31,"When three teen outcasts arrive at a hot springs hotel to help run things, creepy incidents prompt comical efforts to find what lurks in their midst.",0,mandarin
Secrets of Great British Castles,TV,2015,TV-PG,SuperHD,Dan Jones,,,7.9,,80095866,2016-11-15,Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,0,english
See You in Time,TV,2017,TV-14,SuperHD,"Hans Chung, Mini Tsai, Albee Huang, David Chiu",,,6.9,,81020635,2019-01-04,A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.,0,mandarin
See You Yesterday,TV,2019,TV-MA,UltraHD,"Eden Duncan-Smith, Dante Crichlow, Astro, Johnathan Nieves",Stefon Bristol,,5.1,87,80216758,2019-05-17,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",1,english
Seeing Allred,TV,2018,TV-14,UltraHD,Gloria Allred,"Roberta Grossman, Sophie Sartain",,6.8,95,80174367,2018-02-09,"Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business.",1,english
Sei,TV,2018,TV-14,SuperHD,"Nakhul, Aanchal Munjal, Nassar, Prakash Raj",Raj Babu,,4.2,126,81038046,2019-03-24,"An aspiring yet aimless actor takes over his ailing father's job as an ambulance driver, unwittingly getting involved in an organ-trafficking network.",0,other
Seis Manos,TV,2019,TV-MA,SuperHD,"Aislinn Derbez, Mike Colter, Jonny Cruz, Angélica Vale",,,7.3,,80217066,2019-10-03,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice.",0,japanese
Selection Day,TV,2018,TV-14,UltraHD,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar",,,7.3,,80194558,2018-12-28,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,1,hindi
Selena: The Series ,TV,2020–,TV-PG,,"Rico Aragon, Luis Bordonada, Jesse Posey, Christian Serratos",N/A,"Biography, Drama, Music",,41 mins,81022733,2020-12-04,Iconic Mexican-American performer Selena rises to fame as she and her family make sacrifices in order to achieve their lifelong dreams.,0,english
Self Made: Inspired by the Life of Madam C.J. Walker,TV,2020,TV-MA,UltraHD,"Octavia Spencer, Tiffany Haddish, Carmen Ejogo, Blair Underwood",,,7.4,,80202462,2020-03-20,An African American washerwoman rises from poverty to build a beauty empire and become the first female self-made millionaire. Based on a true story.,1,english
Selling Sunset,TV,2019,TV-MA,UltraHD,,,,5.5,,80223108,2019-03-22,"The elite agents at The Oppenheim Group sell the luxe life to affluent buyers in LA. Relationships are everything, and that often means major drama.",1,english
Semana Santa,TV,2015,TV-MA,SuperHD,"Tenoch Huerta, Anajosé Aldrete, Esteban Ávila, David Thornton",Alejandra Márquez Abella,,6.1,87,80081958,2017-01-31,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll.",0,spanish
Señora Acero,TV,2014,PG-13,SuperHD,"Blanca Soto, Litzy, Damián Alcázar, Marco Pérez",,"Crime TV Shows
                  International TV Shows
                  Spanish-Language TV Shows",5.8,,80046347,2016-10-01,"When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son.",0,spanish
Sense8,TV,2015,TV-MA,UltraHD,"Tuppence Middleton, Brian J. Smith, Bae Doona, Max Riemelt",,,8.3,,80025744,2015-06-05,"From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives.",1,english
Sense8: Creating the World,TV,2015,TV-MA,SuperHD,"Tuppence Middleton, Brian J. Smith, Bae Doona, Max Riemelt",,,,25,80062064,2015-08-08,"Go behind the scenes and around the world with the ""Sense8"" cast and crew in this in-depth look at how the hit series is made.",0,english
Seoul Searching,TV,2015,TV-MA,SuperHD,"Cha In-pyo, Justin Chon, Jessika Van, Esteban Ahn",Benson Lee,,7.1,109,80106230,2017-12-15,Teens of Korean descent who were born and raised in other countries travel to Seoul to learn about their cultural heritage at a summer camp in 1986.,0,english
September,TV,2017,TV-MA,UltraHD,"Saúl Lisazo, Mario Zaragoza, Juan Pablo Olyslager, Costanza Andrade",Kenneth Müller,,5.8,69,80229829,2018-03-10,"After a terrorist attack in Guatemala, a baby is rendered deaf and motherless and her father is left to raise her alone.",1,spanish
Sergio,TV,2009,TV-14,SuperHD,Sérgio Viera de Mello,Greg Barker,,7.4,94,70112740,2020-02-01,"This moving documentary profiles Sergio Vieira de Mello, the charismatic U.N. High Commissioner of Human Rights, who was killed by terrorists in Iraq.",0,english
Serial Killer with Piers Morgan,TV,2017,TV-PG,SuperHD,Piers Morgan,,,3.6,,80241003,2019-09-01,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",0,english
Servant of the People,TV,2015,TV-14,SuperHD,"Vladimir Zelenskiy, Natalya Sumskaya, Viktor Saraykin, Stanislav Boklan",,,6.9,,80119382,2017-03-01,"After a Ukrainian high school teacher's tirade against government corruption goes viral on social media, he finds himself the country's new president.",0,other
Set It Up,TV,2018,TV-MA,UltraHD,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Claire Scanlon,,6.5,105,80184100,2018-06-15,"In desperate need of a break from the office, two beleaguered assistants team up to trick their workaholic bosses into falling in love.",1,english
Set Off,TV,2008,TV-MA,SuperHD,"Wenpei Ju, Fan Wei, Liu Hua, Wang Qianyuan",Liu Jiang,,6.5,96,81030197,2018-12-01,"When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps.",0,mandarin
Seth Meyers: Lobby Baby,TV,2019,TV-MA,UltraHD,Seth Meyers,Neal Brennan,,7.5,61,81058497,2019-11-05,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,1,english
Seth Rogen's Hilarity for Charity,TV,2018,TV-MA,UltraHD,"Seth Rogen, Ike Barinholtz, Michael Che, Sacha Baron Cohen",Ryan Polito,,5.0,70,80189646,2018-04-06,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth.",1,english
SETHUM AAYIRAM PON,TV,2020,TV-MA,SuperHD,"Nivedhithaa Sathish, Srilekha Rajendran, Avinash Raghudevan, Gabrella Sellus",Anand Ravichandran,,7.1,102,81244766,2020-04-01,"Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.",0,other
Settai,TV,2013,TV-14,SuperHD,"Arya, Anjali, Hansika Motwani, Santhanam",R. Kannan,,4.4,123,70275076,2018-11-01,"Asked to deliver a package for a friend, Madhu gets her fiancé, Jayaganthan, to take care of it, and he then passes the task to one of his roommates.",0,other
Seven and a half dates,TV,2018,TV-14,SuperHD,"Mercy Johnson, Jim Iyke, Toyin Abraham, Sola Sobowale",Biodun Stephen,,,106,81172904,2019-12-13,"Engrossed in her career, a young woman reluctantly yields to her father's plan to set her up on 10 dates to find a suitable husband.",0,english
Seven and Me,TV,2016,TV-Y,SuperHD,"Leila Jolene, Flavio Parenti, Josefin Asplund",,,6.2,,80183199,2017-10-15,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.,0,french
Seven Seconds,TV,2018,TV-MA,UltraHD,"Clare-Hope Ashitey, Regina King, Beau Knapp, Michael Mosley",,,7.7,,80117555,2018-02-23,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,1,english
Seven Sundays,TV,2017,TV-MA,SuperHD,"Ronaldo Valdez, Aga Muhlach, Dingdong Dantes, Enrique Gil",Cathy Garcia-Molina,,7.9,128,81010870,2019-03-14,"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late.",0,other
Seventeen,TV,2019,TV-MA,UltraHD,"Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana",Daniel Sánchez Arévalo,,7.2,99,80990336,2019-10-18,"To find his therapy dog, a 17-year-old escapes from juvie and embarks on a journey of reconnection with his brother and grandmother through Cantabria.",1,spanish
Sex Education,TV,2019,TV-MA,UltraHD,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",,,8.3,,80197526,2019-01-11,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",1,english
"Sex, Explained",TV,2020,TV-MA,SuperHD,Janelle Monáe,,,6.9,,81160763,2020-01-02,"From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",0,english
Sextuplets,TV,2019,TV-14,UltraHD,"Marlon Wayans, Bresha Webb, Michael Ian Black, Glynn Turman",Michael Tiddes,,4.4,99,80231419,2019-08-16,"When a dad-to-be learns he's actually a sextuplet, he sets off on a wild journey to meet his long-lost family. Marlon Wayans stars as all six siblings.",1,english
Sexy Central,TV,2019,TV-MA,UltraHD,"Jeana Ho Pui-yu, Joyce Cheng, Ava Liu, Shiga Lin",,,,,81144516,2019-07-19,"In the bustling center of Hong Kong, five young women reckon with betrayal, unrequited love and other matters of the heart.",1,other
Shaandaar,TV,2015,TV-14,SuperHD,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor",Vikas Bahl,,3.6,142,80078739,2020-04-01,An industrialist's daughter is forced to marry a rich heir by her greedy grandmother as her adopted sister bonds with the charismatic wedding planner.,0,hindi
Shabd,TV,2005,TV-14,SuperHD,"Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan, Brijendra Kala",Leena Yadav,,5.1,145,70027133,2019-04-15,"When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and his real life grows disconcertingly blurry.",0,hindi
Shadow,TV,2019,TV-MA,UltraHD,"Pallance Dladla, Khathu Ramabulana, Amanda du-Pont, Tumie Ngumla",,,6.5,,81033727,2019-03-08,"Haunted by a tragic loss, an ex-cop with a rare inability to feel pain strikes out on his own to catch offenders who've eluded Johannesburg police.",1,english
Shadow,TV,2018,TV-14,SuperHD,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan",Zhang Yimou,,7.0,115,81034600,2019-11-06,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.",0,mandarin
Shameless (U.S.),TV,2011,TV-MA,SuperHD,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan",,,8.6,,70184207,2016-06-30,This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.,0,english
Shanghai Fortress,TV,2019,TV-14,SuperHD,"Lu Han, Shu Qi, Shi Liang, Godfrey Gao",Teng Huatao,,4.3,107,81161230,2019-09-13,A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source.,0,mandarin
Shark Busters,TV,2002,TV-14,SuperHD,"Danny Lee, Hui Siu-Hung, Lam Suet, Alfred Cheung",Herman Yau,,6.3,91,70033579,2018-08-16,"Hit by a media storm over his own mounting debts, a police officer leads an investigation against the loan sharks behind a sinister credit scheme.",0,other
Shattered Memories,TV,2018,TV-14,SuperHD,"Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas",Chris Sivertson,"Dramas
                  Thrillers",4.2,85,81094665,2019-04-25,"When her former lover's mysteriously murdered, a woman must clear her name -- and avoid the killer.",0,english
Shaun the Sheep ,TV,2007–2020,TV-G,,"Justin Fletcher, John Sparkes, Richard Webber, Kate Harbour",N/A,"Animation, Short, Comedy, Family",,7 min,70155567,2020-12-22,"Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley.",0,english
Shaun the Sheep: Adventures from Mossy Bottom,TV,2020,TV-Y7,SuperHD,"John Sparkes, Justin Fletcher, Marcus Brigstocke, Simon Greenall",,,8.0,,81193152,2020-03-17,"Clever sheep Shaun, loyal dog Bitzer and the rest of the Mossy Bottom gang cook up oodles of fun and mischief on the farm.",0,english
She,TV,2020,TV-MA,SuperHD,"Aaditi Pohankar, Vijay Varma, Vishwas Kini, Kishore Kumar G.",,,6.5,,81183494,2020-03-20,An undercover assignment to expose a drug ring becomes a timid Mumbai constable’s road to empowerment as she realizes her dormant sexuality's potential.,0,hindi
She Did That,TV,2019,TV-PG,SuperHD,"Luvvie Ajayi, Renae Bluitt, Melissa Butler, Lisa Price",,,6.6,70,81194454,2020-02-04,"Go inside the lives of extraordinary, black female entrepreneurs as they discuss building legacies and pioneering a new future for the next generation.",0,english
